iteracao: 0, space occ now: 7
iteracao: 1, space occ now: 10
iteracao: 2, space occ now: 4
iteracao: 3, space occ now: 3
iteracao: 4, space occ now: 8
iteracao: 5, space occ now: 8
iteracao: 6, space occ now: 5
iteracao: 7, space occ now: 10
iteracao: 8, space occ now: 4
iteracao: 9, space occ now: 2
iteracao: 10, space occ now: 3
iteracao: 11, space occ now: 7
iteracao: 12, space occ now: 13
iteracao: 13, space occ now: 0
iteracao: 14, space occ now: 6
iteracao: 15, space occ now: 6
iteracao: 16, space occ now: 6
iteracao: 17, space occ now: 6
iteracao: 18, space occ now: 2
iteracao: 19, space occ now: 3
iteracao: 20, space occ now: 0
iteracao: 21, space occ now: 5
iteracao: 22, space occ now: 2
iteracao: 23, space occ now: 2
iteracao: 24, space occ now: 0
iteracao: 25, space occ now: 2
iteracao: 26, space occ now: 4
iteracao: 27, space occ now: 0
iteracao: 28, space occ now: 2
iteracao: 29, space occ now: 3
iteracao: 30, space occ now: 1
iteracao: 31, space occ now: 6
iteracao: 32, space occ now: 2
iteracao: 33, space occ now: 2
iteracao: 34, space occ now: 1
iteracao: 35, space occ now: 4
iteracao: 36, space occ now: 2
iteracao: 37, space occ now: 1
iteracao: 38, space occ now: 3
iteracao: 39, space occ now: 0
iteracao: 40, space occ now: 1
iteracao: 41, space occ now: 3
iteracao: 42, space occ now: 0
iteracao: 43, space occ now: 1
iteracao: 44, space occ now: 0
iteracao: 45, space occ now: 3
iteracao: 46, space occ now: 1
iteracao: 47, space occ now: 3
iteracao: 48, space occ now: 2
iteracao: 49, space occ now: 1
iteracao: 50, space occ now: 1
iteracao: 51, space occ now: 1
iteracao: 52, space occ now: 0
iteracao: 53, space occ now: 0
iteracao: 54, space occ now: 3
iteracao: 55, space occ now: 2
iteracao: 56, space occ now: 1
iteracao: 57, space occ now: 0
iteracao: 58, space occ now: 1
iteracao: 59, space occ now: 2
iteracao: 60, space occ now: 0
iteracao: 61, space occ now: 0
iteracao: 62, space occ now: 0
iteracao: 63, space occ now: 1
iteracao: 64, space occ now: 1
iteracao: 65, space occ now: 2
iteracao: 66, space occ now: 0
iteracao: 67, space occ now: 1
iteracao: 68, space occ now: 2
iteracao: 69, space occ now: 1
iteracao: 70, space occ now: 1
iteracao: 71, space occ now: 1
iteracao: 72, space occ now: 0
iteracao: 73, space occ now: 1
iteracao: 74, space occ now: 0
iteracao: 75, space occ now: 0
iteracao: 76, space occ now: 1
iteracao: 77, space occ now: 1
iteracao: 78, space occ now: 0
iteracao: 79, space occ now: 1
iteracao: 80, space occ now: 1
iteracao: 81, space occ now: 0
iteracao: 82, space occ now: 1
iteracao: 83, space occ now: 0
iteracao: 84, space occ now: 0
iteracao: 85, space occ now: 0
iteracao: 86, space occ now: 1
iteracao: 87, space occ now: 1
iteracao: 88, space occ now: 0
iteracao: 89, space occ now: 0
iteracao: 90, space occ now: 0
iteracao: 91, space occ now: 0
iteracao: 92, space occ now: 0
iteracao: 93, space occ now: 1
iteracao: 94, space occ now: 0
iteracao: 95, space occ now: 0
iteracao: 96, space occ now: 2
iteracao: 97, space occ now: 0
iteracao: 98, space occ now: 2
iteracao: 99, space occ now: 0
